time,mV
0.0009653,-0.00691157
0.0009667,-0.003184635
0.0009680,-0.000936044
0.0009693,-0.000794058
0.0009707,0.000103901
0.0009720,0.000538058
0.0009733,-0.002192136
0.0009747,-0.002707332
0.0009760,0.00032527
0.0009773,-0.002198461
0.0009787,-0.009350285
0.0009800,-0.009674701
0.0009813,-0.013518197
0.0009827,-0.012832953
0.0009840,-0.013160489
0.0009853,-0.00948406
0.0009867,-0.008113428
0.0009880,-0.008783936
0.0009893,-0.010023342
0.0009907,-0.008399765
0.0009920,-0.004431651
0.0009933,-0.003510959
0.0009947,-0.006378985
0.0009960,-0.010849234
0.0009973,-0.002990086
0.0009987,-0.00233029
0.0010000,-0.000762641
0.0010013,-0.00057646
0.0010027,-0.000526755
0.0010040,0.000971493
0.0010053,-0.001725334
0.0010067,0.002672661
0.0010080,0.002922051
0.0010093,-0.001489329
0.0010107,-0.001505341
0.0010120,0.001531973
0.0010133,-0.005395719
0.0010147,-0.00483022
0.0010160,-0.002900276
0.0010173,-0.003002868
0.0010187,-0.004727686
0.0010200,-0.00819818
0.0010213,-0.011181901
0.0010227,-0.010533782
0.0010240,-0.004656081
0.0010253,-0.005026045
0.0010267,-0.008062821
0.0010280,-0.006324685
0.0010293,-0.007431534
0.0010307,-0.009170372
0.0010320,-0.00683451
0.0010333,-0.00785434
0.0010347,-0.003414906
0.0010360,-0.002633949
0.0010373,-0.007289175
0.0010387,-0.005036699
0.0010400,-0.005617203
0.0010413,-0.004068164
0.0010427,-0.003113639
0.0010440,-0.003929148
0.0010453,-0.0003582
0.0010467,-0.003431536
0.0010480,-0.00469687
0.0010493,-0.002057154
0.0010507,-0.004940974
0.0010520,-0.000962825
0.0010533,-0.00106585
0.0010547,-0.003955044
0.0010560,-0.005011054
0.0010573,-0.005461048
0.0010587,-0.004102927
0.0010600,-0.005250317
0.0010613,-0.008140404
0.0010627,-0.008204059
0.0010640,-0.004651995
0.0010653,-0.00361322
0.0010667,-0.003016491
0.0010680,-0.003637741
0.0010693,-0.005202028
0.0010707,-0.009585426
0.0010720,-0.006571705
0.0010733,-0.005469662
0.0010747,-0.006906735
0.0010760,-0.005918243
0.0010773,-0.000775706
0.0010787,-0.003162767
0.0010800,-0.003500586
0.0010813,-0.003426313
0.0010827,-0.003648664
0.0010840,-0.00135643
0.0010853,-0.003688316
0.0010867,-0.005031051
0.0010880,-0.004659178
0.0010893,-0.00754047
0.0010907,-0.003842862
0.0010920,-0.005522965
0.0010933,-0.005641609
0.0010947,-0.006664182
0.0010960,-0.008426097
0.0010973,-0.004893434
0.0010987,-0.001815662
0.0011000,-0.000413681
0.0011013,-0.006689655
0.0011027,-0.00684147
0.0011040,-0.004876082
0.0011053,-0.002648991
0.0011067,-0.00059725
0.0011080,-3.43E-05
0.0011093,0.00159868
0.0011107,-0.000474449
0.0011120,-1.64E-05
0.0011133,0.001430664
0.0011147,0.001213013
0.0011160,0.001938468
0.0011173,-0.000378369
0.0011187,-0.003386678
0.0011200,-0.006704128
0.0011213,-0.007839558
0.0011227,-0.005378028
0.0011240,-0.005281657
0.0011253,-0.008396636
0.0011267,-0.008557276
0.0011280,-0.010754068
0.0011293,-0.011431693
0.0011307,-0.009923235
0.0011320,-0.01598738
0.0011333,-0.015299788
0.0011347,-0.01300555
0.0011360,-0.015839961
0.0011373,-0.010800635
0.0011387,-0.007238984
0.0011400,-0.006596869
0.0011413,-0.007253394
0.0011427,-0.002135072
0.0011440,0.000748652
0.0011453,0.003140874
0.0011467,0.0017318
